"id","name","industry","subindustry","address","street","house_nr","postal_code","city","state","country","phone","skype","url","logo","email"
"16516","Sun Express For Cargo Services","Freight Forwarders",NULL,"37 Eltameer Building, Airport Cargo Terminal, Sheraton Heliopolis",NULL,NULL,NULL,"Cairo",NULL,NULL,"+202 2669883",NULL,NULL,NULL,NULL
"16517","Safety Sky","Freight Forwarders",NULL,"18 EL-Adib Aly Adham Str, ., FROM EL-Shahid Sayed Zakaria Str, Block 1216, 3rd Floor",NULL,NULL,NULL,"Cairo",NULL,NULL,"+2-02-2686977",NULL,NULL,NULL,NULL
"16518","Andalusiah trading & maritime services","Freight Forwarders",NULL,"bld. 62 -officers city,",NULL,NULL,NULL,"Alexandria",NULL,NULL,"002-03-05466316",NULL,NULL,NULL,NULL
"16519","Capt, Marwan Dahroug","Freight Forwarders",NULL,"3,el zaher & kalwoon dahroug blgd, P.o box : 254 port said 42111,",NULL,NULL,NULL,"Cairo",NULL,NULL,"+2066333811",NULL,NULL,NULL,NULL
"16520","Amfreight","Freight Forwarders",NULL,"12 el masged street,",NULL,NULL,NULL,"Cairo",NULL,NULL,"+2024991549/+20105810609",NULL,NULL,NULL,NULL
"16521","International Company For Marine & Export","Freight Forwarders",NULL,"4,ebn Elsayegh Str., El Atareen,",NULL,NULL,"1944","Alexandria",NULL,"Egypt","002034842433//4",NULL,NULL,NULL,NULL
"16522","Sky2C Freight Systems Inc","Freight Forwarders",NULL,"4221 Business Center Dr, Suite 5 & 6",NULL,NULL,"94538","Fremont",NULL,"California","5107433300",NULL,NULL,NULL,NULL
"16523","Globalcon Logistics Inc","Freight Forwarders",NULL,"4340 W Division Ave,",NULL,NULL,"60641","chicago",NULL,"ILLINOIS","8442762996",NULL,NULL,NULL,NULL
"16524","MUNOZ&CO INTERNATIONAL","Freight Forwarders",NULL,"413 INTERAMERICA BLVD,",NULL,NULL,"78045","LAREDO",NULL,"TEXAS","9564625814",NULL,NULL,NULL,NULL
"16525","Fast Freight Inc","Freight Forwarders",NULL,"610 SW 34TH ST. BUILDING 3 SUITE 202,",NULL,NULL,"33315","FORT LAUDERDALE",NULL,"FL","(305) 7671008",NULL,NULL,NULL,NULL
"16526","Worldwide Freight LLC","Freight Forwarders",NULL,"146 Route 34, Suite 350",NULL,NULL,"7733","Holmdel",NULL,"NJ","732-993-8989",NULL,NULL,NULL,NULL
"16527","Round-The-World Logistics","Freight Forwarders",NULL,"333 Cantor Ave, Unit C",NULL,NULL,"7036","Linden",NULL,"New Jersey","908-862-3535",NULL,NULL,NULL,NULL
"16528","Celestial Freight Solutions Inc","Freight Forwarders",NULL,"11630 Pike Street,",NULL,NULL,"90670","Santa Fe Springs",NULL,"Ca","310-338-1556",NULL,NULL,NULL,NULL
"16529","Exfreight Zeta","Freight Forwarders",NULL,"105 West Adams, Suite 3010",NULL,NULL,"60603","Chicago",NULL,"Illinois/United States","3122088867",NULL,NULL,NULL,NULL
"16530","Intercon Shipping LLc","Freight Forwarders",NULL,"25 Kathryn St,",NULL,NULL,"8882","south river",NULL,"new jersey","732-414-2895",NULL,NULL,NULL,NULL
"16531","AB GROUP SHIPPING CORP","Freight Forwarders",NULL,"6160 NW 74 AVE,",NULL,NULL,"33166","MIAMI",NULL,"Florida","3056352525",NULL,NULL,NULL,NULL
"16532","JBM Intl Freight Forwarding Agency","Freight Forwarders",NULL,"Nanshan Road,",NULL,NULL,"518020","Shenzhen",NULL,"Guangdong","+86 755 26451900",NULL,NULL,NULL,NULL
"16533","Guangzhou Mutual Cargo Service Ltd","Freight Forwarders",NULL,"Room 613, Huihua Commercial Plaza,",NULL,NULL,"510070","Guangzhou",NULL,"Guangdong","+86-020-61135818",NULL,NULL,NULL,NULL
"16534","Grandcrown Transport Limited","Freight Forwarders",NULL,"8A, Tower A, International Business Building, Jin Sha East Road",NULL,NULL,"515000","Shantou",NULL,"Guangdong","+86-0754-8161453",NULL,NULL,NULL,NULL
"16535","J&B International Forwarder Co Ltd","Freight Forwarders",NULL,"904 Rm. Xinyuan Building B, No.25 Xinlong Road",NULL,NULL,"+86 592 361006","Xiamen",NULL,"Fujian","592-5603625",NULL,NULL,NULL,NULL
"16536","Smart Cargo Int'l Logistics Co Ltd","Freight Forwarders",NULL,"Rm1205 , No.950 Dalian Road",NULL,NULL,"200092",NULL,NULL,"Shanghai","+8621-51036198",NULL,NULL,NULL,NULL
"16537","Heleida International Logistics Co Ltd","Freight Forwarders",NULL,"Unit 713, Aiguo Rd,",NULL,NULL,"518001","Shenzhen",NULL,"Guangdong","+86-755-21566400",NULL,NULL,NULL,NULL
"16538","Shanghai Angxing International Transportation Co Ltd","Freight Forwarders",NULL,"Room 1705 Rongxin Buliding, No 1851 Sichuan North Road",NULL,NULL,"200081",NULL,NULL,"Shanghai","+86 021 51054057",NULL,NULL,NULL,NULL
"16539","Shanghai APUS International","Freight Forwarders",NULL,"1808-568 Ouyang Road,",NULL,NULL,"200081",NULL,NULL,"Shanghai","+86 21-56962977",NULL,NULL,NULL,NULL
"16540","Yes Logistics Corp","Freight Forwarders",NULL,"11, Juishi Tower, No. 28 Zhong Shang Nan Road",NULL,NULL,"200010",NULL,NULL,"Shanghai","+86-21-63302266",NULL,NULL,NULL,NULL
"16541","Shanghai Fashion Logistics Co.,Ltd.","Freight Forwarders",NULL,"Room 202,Block 1, 66Lane Hangzhou Road,",NULL,NULL,"200090",NULL,NULL,"Shanghai","+86-21-35080267",NULL,NULL,NULL,NULL
"16542","World Cargo Service Inc.","Freight Forwarders",NULL,"Calle 38 No. 45-46,",NULL,NULL,NULL,"Barranquilla",NULL,"Atlantico","011-57-5-379-1550",NULL,NULL,NULL,NULL
"16543","Seair Cargo International Ltda","Freight Forwarders",NULL,"Calle 18 No 9-29 Ofc 203,",NULL,NULL,NULL,"Bogota",NULL,"Cundinamarca","+57-1-3414544",NULL,NULL,NULL,NULL
"16544","Transandina de Carga Ltd.","Freight Forwarders",NULL,"Av el Dorado # 84a-55 Of 251,",NULL,NULL,NULL,"Bogota",NULL,"Cundinamarca","571 410 6161",NULL,NULL,NULL,NULL
"16545","Heq Logistics","Freight Forwarders",NULL,"Tranv. 80 no. 42c33 Sur,",NULL,NULL,NULL,"Bogota",NULL,"Cundinamarca","40313146",NULL,NULL,NULL,NULL
"16546","Norinco Logistics Projects","Freight Forwarders",NULL,"303j, Huashang Building,",NULL,NULL,"100025","Beijing",NULL,"Beijing","8610-65949753",NULL,NULL,NULL,NULL
"16547","Cargolog Internacional Ltda","Freight Forwarders",NULL,"Cra 43 N. 22d-13,",NULL,NULL,NULL,NULL,NULL,"Bogota","+571 2681736",NULL,NULL,NULL,NULL
"16548","Megatransport International","Freight Forwarders",NULL,"Cra 71 #48a77 Suite 101,",NULL,NULL,NULL,NULL,NULL,"Bogota","+1 571-4811333",NULL,NULL,NULL,NULL
"16549","Interlace Cargo Ltda","Freight Forwarders",NULL,"Cra 106 No. 15-25 Free Zone,",NULL,NULL,NULL,NULL,NULL,"Bogota","4154833",NULL,NULL,NULL,NULL
"16550","Asycar S.A.","Freight Forwarders",NULL,"Calle 53 No. 22 64 Of 402,",NULL,NULL,NULL,NULL,NULL,"Bogota","571 2482996",NULL,NULL,NULL,NULL
"16551","First Priority Cargo Colombia","Freight Forwarders",NULL,"Calle 146#16-60 Office 603, Carrera 42#80-47",NULL,NULL,NULL,"Barranquilla",NULL,"Atlantico","575-3592339",NULL,NULL,NULL,NULL
"16552","ITN Logistics Group","Freight Forwarders",NULL,"6975-D Pacific Circle,",NULL,NULL,"L5T 2H3","Mississauga",NULL,"Ontario","+1 (905) 362 1111",NULL,NULL,NULL,NULL
"16553","Canamex Intl Forwarders Inc","Freight Forwarders",NULL,"1933 Lionel Bertrand,",NULL,NULL,"J7H 1N8","Boisbriand",NULL,"Quebec","1-450-434-1939",NULL,NULL,NULL,NULL
"16554","Hellmann Worldwide Logistics","Freight Forwarders",NULL,"1375 Cardiff Blvd,",NULL,NULL,"L5S 1R1","Mississauga",NULL,"Ontario","+1 905-564-6620",NULL,NULL,NULL,NULL
"16555","Welke Global Logistics","Freight Forwarders",NULL,"242 Galaxy Blvd.,",NULL,NULL,"M9W 5R8","Toronto",NULL,"Ontario","416-674-0592",NULL,NULL,NULL,NULL
"16556","Vinpac Lines (Montreal) Inc","Freight Forwarders",NULL,"640 St Paul West, Suite 507",NULL,NULL,"H3C 1L9","Montreal",NULL,"Quebec","+1 514-395-8989",NULL,NULL,NULL,NULL
"16557","Lyman Customs Brokers & Freight Forwarding","Freight Forwarders",NULL,"401 Grays Road, Second Floor",NULL,NULL,NULL,"Hamilton",NULL,"Ontario","+1 905-560-2771",NULL,NULL,NULL,NULL
"16558","Gts New World Forwarding Inc.","Freight Forwarders",NULL,"24 - 705 Stuart Graham North, Dorval,",NULL,NULL,"H4Y 1E7","Montreal",NULL,"Quebec","514-633-0335",NULL,NULL,NULL,NULL
"16559","Cascadia Container Line Inc","Freight Forwarders",NULL,"#202 - 4190 Lougheed Hwy,",NULL,NULL,"V5C6A8","Burnaby",NULL,"British Columbia","+1 604-737-8131",NULL,NULL,NULL,NULL
"16560","Can-Med Maritime, Inc.","Freight Forwarders",NULL,"1980 Sherbrooke West, Suite 100,",NULL,NULL,"H3H 1E8","Montreal",NULL,"Quebec","514-934-0040",NULL,NULL,NULL,NULL
"16561","Beacon International Despatch Ltd","Freight Forwarders",NULL,"5925 Airport Road, Suite 110",NULL,NULL,"L4V 1W1","Mississauga",NULL,"Ontario","+1-800-265-8405",NULL,NULL,NULL,NULL
"16562","Esa Ulusl. Tas. Lojistik Hizmetleri Tic. Ltd. Sti.","Freight Forwarders",NULL,"Ekin Sk. Yesil Palas Apt. No:30 Da:2 , Yesilyurt",NULL,NULL,NULL,"Istanbul",NULL,NULL,"+90 212 663 90 62",NULL,NULL,NULL,NULL
"16563","Erta Denizcilik Lojistik Hizmetleri Tu. Oto.tas. Su ür. Tic. Ltd. Sti.","Freight Forwarders",NULL,"Atatürk Bulvari No:398 Kat:3 Da.308 Alsancak,",NULL,NULL,NULL,"Izmir",NULL,NULL,"+90 232 464 25 06",NULL,NULL,NULL,NULL
"16564","HT Shipping Co Ltd","Freight Forwarders",NULL,"Mahir Iz Cad. HT Plaza No: 18/2, Altunizade, Uskudar",NULL,NULL,"34662","Istanbul",NULL,NULL,"+902164749555",NULL,NULL,NULL,NULL
"16565","Provel Transport Services Co.Ltd.","Freight Forwarders",NULL,"Kavacik / Beykoz,",NULL,NULL,"34810","Istanbul",NULL,"Turkey","+90 216 413 9559",NULL,NULL,NULL,NULL
"16566","Trade Trans","Freight Forwarders",NULL,"fatih,",NULL,NULL,"34310","istanbul",NULL,"istanbul","0535 576 46 84",NULL,NULL,NULL,NULL
"16567","Okura Int.Transport & Forwarding Co.","Freight Forwarders",NULL,"Ismet Inönü Bulv. Tekel Mud. Yani. Batihan Ish. No: 90, kat: 2/4",NULL,NULL,"33160","Mersin",NULL,"mersın/turkey","+903242386904",NULL,NULL,NULL,NULL
"16568","BAYMAN INT.TRANSPORT LTD.","Freight Forwarders",NULL,"Bahariye Cad. Canan Sk.No:49/3,",NULL,NULL,"34710","Kadiköy",NULL,"İstanbul/Türkiye","+90 216 3466504 - 6524",NULL,NULL,NULL,NULL
"16569","Provel Transport Services","Freight Forwarders",NULL,"Kaptanlar Mah.Gurz Sok. No:19,",NULL,NULL,"34810","Beykoz",NULL,"Turkey","+216 4139559",NULL,NULL,NULL,NULL
"16570","TransFor Logistics","Freight Forwarders",NULL,"Besevler Bilginler Cad. No: 3/14 BURSA TURKEY, Havaalani Mah. Gonen Sok. No: 5/1 ESENLER - ISTANBUL - TURKEY",NULL,NULL,"16000","BURSA - ISTANBUL",NULL,"TURKEY","9.05322E+11",NULL,NULL,NULL,NULL
"16571","ses lojistik hizmetleri - dilek hizli","Freight Forwarders",NULL,"hasan guven cadd.Ozge sitesi A blok, D : 7 GAZIEMIR - IZMIR",NULL,NULL,"35410","gaziemir",NULL,"izmir","+ 90 232 274 14 58",NULL,NULL,NULL,NULL
"16572","Sietemares Cargas","Freight Forwarders",NULL,"Beruti 3737 4° ""16"",",NULL,NULL,"1425",NULL,NULL,"Buenos Aires","5411-4833-5100",NULL,NULL,NULL,NULL
"16573","Impextrade srl","Freight Forwarders",NULL,"Rawson 3581 2A La Lucila,",NULL,NULL,"1637",NULL,NULL,"Buenos Aires","+1 54.114005.5222",NULL,NULL,NULL,NULL
"16574","Slade Shipping","Freight Forwarders",NULL,"Tucuman 540,",NULL,NULL,"1049",NULL,NULL,"Capital Federal","+5411 5217 - 9755",NULL,NULL,NULL,NULL
"16575","Devco SRL","Freight Forwarders",NULL,"Av. de Mayo 666 3rd floor,",NULL,NULL,"1084",NULL,NULL,"Buenos Aires","+5411 5128-7000",NULL,NULL,NULL,NULL
"16576","MTM Internacional S.A.","Freight Forwarders",NULL,"Bolivar 391 Floor 7. Suite A,",NULL,NULL,"C1066AAG",NULL,NULL,"Buenos Aires","+54 (011) 4701-7305",NULL,NULL,NULL,NULL
"16577","Almar Group","Freight Forwarders",NULL,"Corrientes 653 - P. 9 - Of 01 & 02,",NULL,NULL,"2124","Rosario",NULL,"Santa Fe","+54 341 5306610",NULL,NULL,NULL,NULL
"16578","World Global Logistic","Freight Forwarders",NULL,"Tucuman 540 8°F,",NULL,NULL,"1049",NULL,NULL,"Buenos Aires","+(541) 4325-1144",NULL,NULL,NULL,NULL
"16579","Americana Shipping Group SRL","Freight Forwarders",NULL,"Av. Corrientes 640 - 3er Piso - 40 A,",NULL,NULL,"C1043AAS",NULL,NULL,"Buenos Aires","+54 11 5235 55 70",NULL,NULL,NULL,NULL
"16580","DIAGONAL TRADE S.A.","Freight Forwarders",NULL,"Av. Julio A Roca 695 9º B,",NULL,NULL,"1067",NULL,NULL,"Buenos Aires","+54 11 4331-4747",NULL,NULL,NULL,NULL
"16581","Francamar Logistics","Freight Forwarders",NULL,"Tucumán 540 - 14th Floor Office B,",NULL,NULL,"C1049AAL",NULL,NULL,"Buenos Aires","+54-11-4322-9339",NULL,NULL,NULL,NULL
"16582","Skelas Limited","Freight Forwarders",NULL,"# 95 Amadi Ama, LNG Road, P. O. Box 11851",NULL,NULL,NULL,"Port Harcourt",NULL,"Rivers State","+234 84 233623",NULL,NULL,NULL,NULL
"16583","ZAFO GLOBAL LINKS LTD","Freight Forwarders",NULL,"MIGFO HOUSE, 17 INTERNATION AIRPORT ROAD, AJAO ESTATE, ISOLO,",NULL,NULL,NULL,"ISOLO,",NULL,"LAGOS","234-1-4718110",NULL,NULL,NULL,NULL
"16584","AIRNET CARGO SERVICES","Freight Forwarders",NULL,"FLAT 7 ROAD36, HOUSE26, V.G.C,,",NULL,NULL,NULL,"LEKI, LAGOS",NULL,NULL,"01 -234-08033444571",NULL,NULL,NULL,NULL
"16585","Bostmik International Company Ltd","Freight Forwarders",NULL,"7, Somoye Osundairo Street, Off Ola Ayeni Street, P O BOX 15342",NULL,NULL,NULL,"IKEJA-LAGOS",NULL,NULL,"+2348033346390",NULL,NULL,NULL,NULL
"16586","Allfreight Cargo Services Limited","Freight Forwarders",NULL,"Suite 5/6 Keskay Motor's Plaza Klm.,!9, Agege Motor Road, Near Ajayi Farm",NULL,NULL,NULL,"Ikeja",NULL,NULL,"+234 802 3074168",NULL,NULL,NULL,NULL
"16587","Goldengate Investments Limited","Freight Forwarders",NULL,"2a, Osolo way, off M/M airport road, ajao estate,",NULL,NULL,NULL,"Isolo",NULL,"Lagos","234-1-8129617",NULL,NULL,NULL,NULL
"16588","Exclusive Shipping Services Limited","Freight Forwarders",NULL,"Suite A13, Adeniran Ogunsanya Shopping Complex, Surulere",NULL,NULL,NULL,"Lagos",NULL,NULL,"+234-1-7752427",NULL,NULL,NULL,NULL
"16589","Aviomarine Transport Agencies Ltd.","Freight Forwarders",NULL,"Cargo Room, Nnamdi Azikiwe International Airport",NULL,NULL,NULL,"Abuja",NULL,NULL,"+234-8023273787",NULL,NULL,NULL,NULL
"16590","Porters Resource Limited","Freight Forwarders",NULL,"No. 31 Ljewere Avenue, Adetola, Aguda",NULL,NULL,NULL,"Surulere",NULL,"Lagos","234-803-3569506",NULL,NULL,NULL,NULL
"16591","Seacrest Int'l Company Limited","Freight Forwarders",NULL,"Plot A6 Trans Amadi Industrial Layout,",NULL,NULL,NULL,"Port Harcourt",NULL,"Rivers State","+ 234-84-237319 & + 234-84-232431",NULL,NULL,NULL,NULL
"16592","Seamar Logistics","Freight Forwarders",NULL,"AV.Providencia 1456,",NULL,NULL,NULL,NULL,NULL,"Metrop. De Santiago","+56-2 2444545",NULL,NULL,NULL,NULL
"16593","CSL Chile Logistica","Freight Forwarders",NULL,"Av.Provedencia 1111 OF.3003,",NULL,NULL,NULL,NULL,NULL,"Metrop. De Santiago","+56-2 2208203",NULL,NULL,NULL,NULL
"16594","Atlantic Line","Freight Forwarders",NULL,"San Jorge # 1128,",NULL,NULL,NULL,"La Florida",NULL,"Metrop. De Santiago","56-2-5184061",NULL,NULL,NULL,NULL
"16595","Magellan Shipping S.A.","Freight Forwarders",NULL,"La Gioconda 4365,",NULL,NULL,"13564","Las Condes",NULL,"Metrop. De Santiago","56 2 4122000",NULL,NULL,NULL,NULL
"16596","Tradewings Ltd","Freight Forwarders",NULL,"La Gioconda 4365,",NULL,NULL,"13564","Las Condes",NULL,"Metrop. De Santiago","56 2 4122000",NULL,NULL,NULL,NULL
"16597",,"Freight Forwarders",NULL,"Coyancura 2270 Office 801,",NULL,NULL,"6650184",NULL,NULL,"Metrop. De Santiago","562 3264022",NULL,NULL,NULL,NULL
"16598","Districargo Chile S.A.","Freight Forwarders",NULL,"Huerfanos Nº 1052 Of. 501,",NULL,NULL,NULL,NULL,NULL,"Metrop. De Santiago","56-2-4201988",NULL,NULL,NULL,NULL
"16599","Austral Shipping Agency Asa-Group","Freight Forwarders",NULL,"Avda. Americo Vespucio Oriente 1309 of 513 edif. Enea, Pudahuel",NULL,NULL,"902000",NULL,NULL,"Metrop. De Santiago","+56-02-444.98.50",NULL,NULL,NULL,NULL
"16600","Synergex Logistics","Freight Forwarders",NULL,"Villarrica 322 , Modulo B13, Condomineo Flexcenter Quilicura ,",NULL,NULL,"8730604",NULL,NULL,"Metrop. De Santiago","56 2 7263000",NULL,NULL,NULL,NULL
"16601","Express Cargo Logistica","Freight Forwarders",NULL,"Andrés de Fuenzalida 22 OF. 904,",NULL,NULL,"7510092",NULL,NULL,"Metrop. De Santiago","56-2-2320938",NULL,NULL,NULL,NULL
"16602","IS Logistic","Freight Forwarders",NULL,"Edificio Centroa America, Local # 14, Sector Calpules",NULL,NULL,NULL,"San Pedro Sula",NULL,"Cortes","+504-559-0412",NULL,NULL,NULL,NULL
"16603","ALE Cargo Ltd","Freight Forwarders",NULL,"21 ave 9 y 10 calle Bo. Rio Piedras, #20 segunda planta",NULL,NULL,NULL,"San Pedro Sula",NULL,NULL,"+504 553 1511",NULL,NULL,NULL,NULL
"16604","ARPINSA.CARGO.","Freight Forwarders",NULL,"6 Nivel Edif Martinez Valenzuela, 3 Ave 2 Calle.O. Bo. El Centro.,",NULL,NULL,NULL,"San Pedro Sula,",NULL,NULL,"(504) 550.1970 PBX",NULL,NULL,NULL,NULL
"16605","JDE Cargo Express S. de R.L.","Freight Forwarders",NULL,"Bo. Rio de Piedras 6ta Calle 17-18 Avenida, Plaza Cibeles Local no. 1",NULL,NULL,"504","San Pedro Sula",NULL,"Cortes","+504.558.9176",NULL,NULL,NULL,NULL
"16606","Logistic International S. de R.L.","Freight Forwarders",NULL,"Barrio Guamilito 4 calle 4 y 5 avenida local #30,",NULL,NULL,"504","San Pedro Sula",NULL,"Cortes","Phone :(504)552-2275",NULL,NULL,NULL,NULL
"16607","SETA","Freight Forwarders",NULL,"Colonia 15 de Septiembre, Bloque P, Casa # 6006.",NULL,NULL,"504","TEGUCIGALPA",NULL,"Francisco Morazan","+(504) 234 6952",NULL,NULL,NULL,NULL
"16608","Amos Cargo Shipping","Freight Forwarders",NULL,"Edificio Emporio, Barrio Guamilito, 7y8 calle 1 cuadra antes de Diario La Prensa",NULL,NULL,"504","San Pedro Sula",NULL,"Cortes","50425093785",NULL,NULL,NULL,NULL
"16609","QUICK SHIPPING HONDURAS","Freight Forwarders",NULL,"Ave Circunvalación 6ta calle S. O.,",NULL,NULL,"510","SAN PEDRO SULA",NULL,"CORTES","504-2516-1694",NULL,NULL,NULL,NULL
"16610","Northstar International Transport S. de R.L.","Freight Forwarders",NULL,"Edificio Copemh, Col. Las Colinas, 2do Nivel, No. 3 y 4, Blvr. Centroamerica, Tegucigalpa Honduras C.A.,",NULL,NULL,"33166","Tegucigalpa",NULL,"Fco. Morazan, Tegucigalpa.","504.2239.8242",NULL,NULL,NULL,NULL
"16611","Airlift & Shipping Services","Freight Forwarders",NULL,"L-9 Sunder Singh Complex, Mahipal Pur",NULL,NULL,NULL,"Delhi",NULL,"Delhi","+91 9312244330",NULL,NULL,NULL,NULL
"16612","Dimasa Exports","Freight Forwarders",NULL,"MIG-37, Avantika-II, Ramghat Road",NULL,NULL,NULL,"Aligarh",NULL,"Uttar Pradesh","+91 571 2740058",NULL,NULL,NULL,NULL
"16613","Royal Forwarders Pvt Ltd","Freight Forwarders",NULL,"3 & 4 Satyam Building, Mistry Complex, J. B. Nagar, Andheri (E)",NULL,NULL,"400059","Mumbai",NULL,"Manipur","+91 9892186666",NULL,NULL,NULL,NULL
"16614","Jeena & Co","Freight Forwarders",NULL,"78(6) Spider Gardens, Angeripalayam Road",NULL,NULL,"641603","Tirupur",NULL,"Tamil Nadu","+91 421 2476052",NULL,NULL,NULL,NULL
"16615","Jincy Forwarders","Freight Forwarders",NULL,"Room No. 15, 45/49 Bora Bazar Street,",NULL,NULL,NULL,"Mumbai",NULL,"Maharashtra","+91 22 22610469",NULL,NULL,NULL,NULL
"16616","Mehta Logistics Pvt. Ltd.","Freight Forwarders",NULL,"B-1, Dhannur Bldg, 15 Sir P.M. Road, Fort",NULL,NULL,NULL,"Mumbai",NULL,"Maharashtra","091+022+22691372",NULL,NULL,NULL,NULL
"16617","Far N Par India Private Limited","Freight Forwarders",NULL,"402, 4th Floor, Topaz Building, Punjagutta, Hyderabad.,",NULL,NULL,NULL,"Hyderabad, A.P.",NULL,"Andhra Pradesh","0091 040 23403887 / 23403240.",NULL,NULL,NULL,NULL
"16618","S.M.Shipping (India)","Freight Forwarders",NULL,"309, Kangra Niketan, Vikas Puri, New Delhi",NULL,NULL,NULL,"New Delhi",NULL,"Delhi","+91 - 011 - 25528958/ 9810600959",NULL,NULL,NULL,NULL
"16619","RTG Logistics (P) Ltd.","Freight Forwarders",NULL,"32 / 202 , LGF , Vikram Vihar, Lajpat Nagar - IV,",NULL,NULL,"110024","New Delhi",NULL,"Delhi","91-11-26422985",NULL,NULL,NULL,NULL
"16620","Sea Speed Logistics","Freight Forwarders",NULL,"No.17,vaalleeswarar Koil St., Mylapore,",NULL,NULL,"600 004","Chennai",NULL,"Tamil Nadu","+914452101357",NULL,NULL,NULL,NULL
"16621","Dockport Trading & Courier Company Limited","Freight Forwarders",NULL,"14576-00100,",NULL,NULL,NULL,"Nairobi",NULL,NULL,"+254 722858203",NULL,NULL,NULL,NULL
"16622","Alpha Star logistics East Africa Ltd","Freight Forwarders",NULL,"82977, 82977",NULL,NULL,"80100","Mombasa",NULL,"Kenya","+254714101530",NULL,NULL,NULL,NULL
"16623","Benairs Logistics Ltd","Freight Forwarders",NULL,"P.o box 8107,",NULL,NULL,"200","Nairobi",NULL,"Kenya","+254723754378",NULL,NULL,NULL,NULL
"16624","DESTINY LOGISTICS AND TRANSPORTERS LIMITED","Freight Forwarders",NULL,"P.O BOX 89979-80100 MOMBASA KENYA,",NULL,NULL,"80100","MOMBASA",NULL,"KENYA","2.54724E+11",NULL,NULL,NULL,NULL
"16625","CANAAN INVESTMENTS LTD","Freight Forwarders",NULL,"P.O BOX 12650, NAIROBI, KENYA, AS ABOVE",NULL,NULL,"254","NAIROBI",NULL,"KENYA","254 723827104",NULL,NULL,NULL,NULL
"16626","Excom Assessoria Internacional","Freight Forwarders",NULL,"Rua Anfilófio de Carvalho, 29 / Cobertura - Centro,",NULL,NULL,"20030-901",NULL,NULL,"Rio de Janeiro","+55 (21) 3147-8484",NULL,NULL,NULL,NULL
"16627","Ventana Serra Brasil Ltda","Freight Forwarders",NULL,"Rua Laplace, n 74, 3 andar",NULL,NULL,"04622-001",NULL,NULL,"Sao Paulo","+55 11 2175 0852",NULL,NULL,NULL,NULL
"16628","Infinity Logistics","Freight Forwarders",NULL,"Av. Paulista, 1765 Cj. 111, Bela Vista",NULL,NULL,"0311-200",NULL,NULL,"Sao Paulo","+55 11 2111-6000",NULL,NULL,NULL,NULL
"16629","Quattri Transportes Internacionais Ltda.","Freight Forwarders",NULL,"Av. Rio Branco, 45 sala 1211, Parte - Centro,",NULL,NULL,"20090-003",NULL,NULL,"Rio de Janeiro","+55 21 2253-6571",NULL,NULL,NULL,NULL
"16630","Hraifa Logistica","Freight Forwarders",NULL,"Rua Joao Negrao 731, cj 701,",NULL,NULL,"80010-200","Curitiba",NULL,"Parana","+55 41 3224 4425",NULL,NULL,NULL,NULL
"16631","GTS Cargo LLC","Freight Forwarders",NULL,"R. Jose maria LisAvenida rio branco, 45 - sala 2511",NULL,NULL,"01423-001",NULL,NULL,"Rio de Janeiro","+55 11 3885-9049",NULL,NULL,NULL,NULL
"16632","Pier17Group ltd. / MSL do Brazil, ltda","Freight Forwarders",NULL,"Rua da Consolação NR 382, Andar 1, Cep 01302-000 - CentroSão Paulo",NULL,NULL,"12345",NULL,NULL,"Sao Paulo","55 11 2713 - 7900",NULL,NULL,NULL,NULL
"16633","Interlog Brasil Transportes Internacionais LTDA","Freight Forwarders",NULL,"Rua Washington Luis 1118/801, Centro",NULL,NULL,"90010-460","Porto Alegre",NULL,"Rio Grande do Sul","+55 51 3024 6443",NULL,NULL,NULL,NULL
"16634","GF Transportes & Representacoes Ltda","Freight Forwarders",NULL,"Rua Sao Jose, 1427 - Sala 01,",NULL,NULL,"96810-460","Santa Cruz do Sul",NULL,"Rio Grande do Sul","+55 51 3056-4461",NULL,NULL,NULL,NULL
"16635","Americana Shipping Group Ltda","Freight Forwarders",NULL,"Ana Costa 222, Millenium Tower, Cj 82 ,",NULL,NULL,"CEP 11060-000","Santos",NULL,"Sao Paulo","+5513 3324-9130",NULL,NULL,NULL,NULL
"16636","Logytram","Freight Forwarders",NULL,"Via 5, 3-65 Zona 4, Ed. El Angel, Oficina 26",NULL,NULL,"1004","Guatemala",NULL,"Guatemala","+502 2385 9093",NULL,NULL,NULL,NULL
"16637","GACSA","Freight Forwarders",NULL,"6 avenida 30-33 zona 11, Colonia Granai I,",NULL,NULL,"1011","Guatemala",NULL,"Guatemala City","(502) 2442-1133",NULL,NULL,NULL,NULL
"16638","Dacotrans de C.A., S.A.","Freight Forwarders",NULL,",",NULL,NULL,NULL,"Guatemala City",NULL,"Guatemala","+502 337 0672",NULL,NULL,NULL,NULL
"16639","Ale Cargo Guatemala","Freight Forwarders",NULL,"Av. Las Américas 20-47, Zona 14,",NULL,NULL,"0",NULL,NULL,"Guatemala","(502) 2380-6700",NULL,NULL,NULL,NULL
"16640","All America Logistics / USA - All America Freight","Freight Forwarders",NULL,"4 Avenida 22-52, Zona 14,",NULL,NULL,"100","Guatemala City",NULL,"Guatemala","011-502-2388-1888",NULL,NULL,NULL,NULL
"16641","Postal Box SA","Freight Forwarders",NULL,"Avenida las Americas 20-47 zona 14,",NULL,NULL,"1014",NULL,NULL,"Guatemala","+502 23806700",NULL,NULL,NULL,NULL
